fps,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
29,20,36,0,20,36,0,19,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,19,35,0,20,35,0,15,33,0,22,34,0,10,35,0,26,36,0,7,37,0,30,40,0,5,38,0,31,40,0,6,38,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,14,0,27,16,0,20,7,0,32,10,0,20,6,0,33,10,0,18,5,0,34,8,0
29,20,36,0,20,36,0,19,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,19,35,0,20,35,0,15,33,0,22,34,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,38,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,14,0,27,16,0,20,7,0,32,10,0,20,6,0,33,10,0,18,5,0,34,8,0
29,20,35,0,20,36,0,19,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,19,35,0,20,35,0,15,33,0,22,33,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,38,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,14,0,27,16,0,20,7,0,32,10,0,20,6,0,33,10,0,18,5,0,34,8,0
29,20,35,0,20,36,0,19,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,19,35,0,20,35,0,15,33,0,22,33,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,39,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,10,0,18,5,0,34,8,0
29,20,35,0,20,36,0,19,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,19,35,0,20,35,0,15,33,0,22,33,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,39,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
29,20,35,0,20,36,0,20,36,0,19,36,0,20,36,0,20,36,0,20,36,0,18,36,0,20,36,0,20,35,0,20,35,0,15,33,0,22,33,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,39,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
29,20,35,0,20,36,0,20,36,0,19,36,0,20,36,0,20,36,0,21,36,0,18,36,0,20,36,0,20,35,0,20,35,0,15,33,0,22,33,0,10,35,0,26,36,0,7,37,0,30,39,0,5,38,0,31,40,0,6,39,0,31,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
29,21,35,0,20,36,0,20,36,0,20,36,0,21,36,0,21,36,0,21,36,0,19,36,0,20,36,0,20,35,0,21,35,0,15,33,0,22,33,0,11,35,0,27,36,0,7,38,0,31,39,0,6,39,0,32,40,0,6,39,0,32,40,0,6,38,0,31,40,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
29,21,35,0,21,36,0,20,36,0,20,36,0,21,36,0,21,36,0,21,36,0,19,36,0,21,36,0,20,35,0,21,35,0,16,33,0,22,33,0,11,35,0,27,36,0,7,38,0,31,39,0,6,39,0,32,39,0,6,39,0,32,40,0,7,39,0,32,39,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
29,21,35,0,21,36,0,20,36,0,20,36,0,21,36,0,21,36,0,21,36,0,19,36,0,21,36,0,21,35,0,21,35,0,16,33,0,22,33,0,11,35,0,27,36,0,7,38,0,31,39,0,6,39,0,32,39,0,6,39,0,32,40,0,7,39,0,32,39,0,19,22,0,23,23,0,20,15,0,27,16,0,20,7,0,32,10,0,20,6,0,33,9,0,18,5,0,34,8,0
